Model,Metric_Class,Validation_Value,Test_Value
Model 5: Unet + 0.8CE + 0.2 DICE,Pixel Accuracy,0.9417,
Model 5: Unet + 0.8CE + 0.2 DICE,Mean Accuracy,0.7620,
Model 5: Unet + 0.8CE + 0.2 DICE,road,0.9715,97.6181
Model 5: Unet + 0.8CE + 0.2 DICE,sidewalk,0.7824,79.0583
Model 5: Unet + 0.8CE + 0.2 DICE,building,0.8916,88.6406
Model 5: Unet + 0.8CE + 0.2 DICE,wall,0.4709,35.5371
Model 5: Unet + 0.8CE + 0.2 DICE,fence,0.4172,36.9706
Model 5: Unet + 0.8CE + 0.2 DICE,pole,0.5279,49.1703
Model 5: Unet + 0.8CE + 0.2 DICE,traffic light,0.5661,57.3087
Model 5: Unet + 0.8CE + 0.2 DICE,traffic sign,0.6545,62.2122
Model 5: Unet + 0.8CE + 0.2 DICE,vegetation,0.9008,90.7582
Model 5: Unet + 0.8CE + 0.2 DICE,terrain,0.5726,68.2432
Model 5: Unet + 0.8CE + 0.2 DICE,sky,0.9360,93.8527
Model 5: Unet + 0.8CE + 0.2 DICE,person,0.7006,73.6425
Model 5: Unet + 0.8CE + 0.2 DICE,rider,0.4672,53.5208
Model 5: Unet + 0.8CE + 0.2 DICE,car,0.9143,92.0499
Model 5: Unet + 0.8CE + 0.2 DICE,truck,0.5959,38.4188
Model 5: Unet + 0.8CE + 0.2 DICE,bus,0.6875,53.095
Model 5: Unet + 0.8CE + 0.2 DICE,train,0.4448,42.6726
Model 5: Unet + 0.8CE + 0.2 DICE,motorcycle,0.3913,45.351
Model 5: Unet + 0.8CE + 0.2 DICE,bicycle,0.6689,61.4761
Model 6: 0.2CE + 0.8DICE,mIoU / Average IoU,0.6576,64.2961
Model 6: 0.2CE + 0.8DICE,Pixel Accuracy,0.9384,
Model 6: 0.2CE + 0.8DICE,Mean Accuracy,0.7524,
Model 6: 0.2CE + 0.8DICE,road,0.9693,97.346
Model 6: 0.2CE + 0.8DICE,sidewalk,0.7720,77.578
Model 6: 0.2CE + 0.8DICE,building,0.8815,87.7686
Model 6: 0.2CE + 0.8DICE,wall,0.3914,35.8608
Model 6: 0.2CE + 0.8DICE,fence,0.4236,35.3461
Model 6: 0.2CE + 0.8DICE,pole,0.5261,49.052
Model 6: 0.2CE + 0.8DICE,traffic light,0.5934,60.0732
Model 6: 0.2CE + 0.8DICE,traffic sign,0.6635,63.3766
Model 6: 0.2CE + 0.8DICE,vegetation,0.8922,89.9021
Model 6: 0.2CE + 0.8DICE,terrain,0.5762,68.6207
Model 6: 0.2CE + 0.8DICE,sky,0.9324,93.5195
Model 6: 0.2CE + 0.8DICE,person,0.7111,74.7278
Model 6: 0.2CE + 0.8DICE,rider,0.5133,57.2586
Model 6: 0.2CE + 0.8DICE,car,0.9060,91.3601
Model 6: 0.2CE + 0.8DICE,truck,0.5421,36.4617
Model 6: 0.2CE + 0.8DICE,bus,0.6960,47.7914
Model 6: 0.2CE + 0.8DICE,train,0.4403,42.8536
Model 6: 0.2CE + 0.8DICE,motorcycle,0.3811,49.531
Model 6: 0.2CE + 0.8DICE,bicycle,0.6833,63.1981
